Nom,Autres Noms,Longitude,Latitude,Empire,start_year,end_year
Jaffna,"Iaffanapatnam, Iaphanapatam, Jaffanapatnam, Jaffenapatnam, Jaffnapatnam, Jafnapatnam, Jaftenapatnam, Jeftenapatnam",9.66845,80.00742,Portugal,1591,1657
Jaffna,"Iaffanapatnam, Iaphanapatam, Jaffanapatnam, Jaffenapatnam, Jaffnapatnam, Jafnapatnam, Jaftenapatnam, Jeftenapatnam",9.66845,80.00742,Netherlands,1658,1796
Jaffna,"Iaffanapatnam, Iaphanapatam, Jaffanapatnam, Jaffenapatnam, Jaffnapatnam, Jafnapatnam, Jaftenapatnam, Jeftenapatnam",9.66845,80.00742,Great-Britain,1797,1948
Jakarta,"Batavia, Battavia, Batvia, Jacatra",-6.131765,106.812079,Netherlands,1619,1949
Jambi,"Iamby, Jambij, Jamby",-1.592169,103.61583,Netherlands,1682,1824
Kalba,"Ghalla, Ghallah, Kalbah, Qalba, Quelba",25.07462,56.35545,Portugal,1583,1811
Kannur,"Cananor, Cannanore",11.854216,75.371895,Portugal,1505,1663
Kannur,"Cananor, Cannanore",11.854216,75.371895,Netherlands,1664,1690
Kannur,"Cananor, Cannanore",11.854216,75.371895,Great-Britain,1691,1750
Karaikal,Karikal,10.91667,79.83333,France,1739,1954
Karwar,"Carwar, Karvar",14.81361,74.12972,Portugal,1500,1610
Khambhat,"Cambay, Kambay, Khambayat",22.31744,72.61916,Portugal,1500,1610
Khambhat,"Cambay, Kambay, Khambayat",22.31744,72.61916,Great-Britain,1612,1750
Kharg,Kareek,29.24583,50.31583,Safavid,1600,1852
Khor Fakkan,"Corfação, Fakkan, Hur-Faakkãn, Khawr Fakkan, Khawr Fakkân, Khor Fakhan, Kor-Fakkan, Orfacão",25.33132,56.34199,Portugal,1666,1737
Kilwa,"Kilwa Island, Kilwa Kisiwani, Quíloa",-8.95897,39.49808,Portugal,1505,1512
Kochi,"Cochim, Cochin, Cotchyn, Couchin, Couchyn, Coutchin, Kochin",9.93988,76.26022,Portugal,1503,1663
Kochi,"Cochim, Cochin, Cotchyn, Couchin, Couchyn, Coutchin, Kochin",9.93988,76.26022,Netherlands,1664,1795
Kochi,"Cochim, Cochin, Cotchyn, Couchin, Couchyn, Coutchin, Kochin",9.93988,76.26022,Great-Britain,1796,1947
Kodungallur,"Cranganor, Cranganore, Mahodayapuram, Muyirikkode, Muziris, Shingly, Vanchi",10.23263,76.19513,Portugal,1500,1663
Kodungallur,"Cranganor, Cranganore, Mahodayapuram, Muyirikkode, Muziris, Shingly, Vanchi",10.23263,76.19513,Netherlands,1664,1690
Kodungallur,"Cranganor, Cranganore, Mahodayapuram, Muyirikkode, Muziris, Shingly, Vanchi",10.23263,76.19513,Great-Britain,1690,1761
Kolkata,Calcutta,22.56263,88.36304,Great-Britain,1690,1947
Kong,"Bandar-e Gong, Bandar-e Kong, Congo, Gong, Kung",26.59775,54.93694,Netherlands,1665,1753
Koonimedu,"Canhameira, Canhuneyra, Congi-medu, Congimer, Conimal, Conimere, Conjemeer, Connymere, Coonemerro, Coonimode, Kanyimedu, Kanyimeḍu, Kunimeḍu",12.08515,79.88921,France,1690,1761
Kozhikode,"Calecute, Calicut",11.24802,75.7804,Portugal,1500,1663
Kozhikode,"Calecute, Calicut",11.24802,75.7804,Netherlands,1664,1690
Kozhikode,"Calecute, Calicut",11.24802,75.7804,Great-Britain,1690,1751
Laccadive Islands,Lakshadweep,10.92577,72.28838,Portugal,1503,1610
Lifau,,-9.20279,124.30879,Portugal,1515,1769
Lohayong,"Laboina, Lowayong, Solor",-8.4345,123.0688,Spain,1565,1603
Macao,"A-Ma-Kao, Haojin, Macau",22.197111,113.542422,Portugal,1557,1999
Machilipatnam,"Bandar, Masula, Masulepataem, Masulipatnam, Masulipatão, Mazulipatnam, Mesulibata",16.18747,81.13888,Portugal,1605,1608
Machilipatnam,"Bandar, Masula, Masulepataem, Masulipatnam, Masulipatão, Mazulipatnam, Mesulibata",16.18747,81.13888,Netherlands,1608,1795
Madhavayapalem,Madapollam,16.4404,81.71433,Portugal,1600,1650
Mahé,Mayyazhi,-4.67643,55.47426,France,1721,1954
Makassar,"Borrobos, Macassar, Macáçar",-5.13418,119.405556,Portugal,1510,1666
Makassar,"Borrobos, Macassar, Macáçar",-5.13418,119.405556,Netherlands,1667,1949
Malacca,"Malaca, Malacca, Malaka, Malakka, Mallacca, Melaka",2.191617,102.250306,Portugal,1511,1640
Malacca,"Malaca, Malacca, Malaka, Malakka, Mallacca, Melaka",2.191617,102.250306,Netherlands,1641,1824
Malacca,"Malaca, Malacca, Malaka, Malakka, Mallacca, Melaka",2.191617,102.250306,Great-Britain,1825,1957
Malda,Maldah,25.00447,88.14573,Great-Britain,1757,1813
Malindi,,-3.21799,40.11692,Portugal,1502,1600
Mangalore,"Kodial, Maikala, Mangalor, Mangaluru",12.91723,74.85603,Portugal,1503,1660
Mangalore,"Kodial, Maikala, Mangalor, Mangaluru",12.91723,74.85603,Great-Britain,1660,1750
Manila,,14.6042,120.9822,Spain,1571,1898
Mannar,"Manaar, Manar",8.983632953,79.91141079,Portugal,1544,1658
Mannar,"Manaar, Manar",8.983632953,79.91141079,Netherlands,1659,1796
Mannar,"Manaar, Manar",8.983632953,79.91141079,Great-Britain,1796,1948
Matara,,5.95,80.53333333,Portugal,1594,1640
Matara,,5.95,80.53333333,Netherlands,1641,1796
Matara,,5.95,80.53333333,Great-Britain,1796,1948
Mauritius,,-20.3,57.58333,Netherlands,1598,1710
Mauritius,,-20.3,57.58333,France,1711,1810
Mauritius,,-20.3,57.58333,Great-Britain,1811,1968
Mombasa,"Mambasa, Mombaaso, Mombassa, Mombaça, Mombása, Mompasa",-4.062633333,39.67958056,Portugal,1505,1593
Mombasa,"Mambasa, Mombaaso, Mombassa, Mombaça, Mombása, Mompasa",-4.062633333,39.67958056,Great-Britain,1890,1963
Mrauk U,"Aracan, Arackan, Arakan, Arracan",20.59,93.19062,Great-Britain,1826,1921
Mumbai,"Bom Bahia, Bombaim, Bombay",19.07283,72.88261,Portugal,1534,1661
Mumbai,"Bom Bahia, Bombaim, Bombay",19.07283,72.88261,Great-Britain,1662,1947
Muscat,"Mascate, Masqat",23.616604,58.597614,Netherlands,1670,1738
